scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
25331,Agapanthus nutans F.M.Leight.,누탄스아가판서스,Liliaceae,백합과,Agapanthus,아가판서스속,nutans,,재배품종
33527,Ornithogalum nutans L.,누탄스오니소갈룸,Liliaceae,백합과,Ornithogalum,오니소갈룸속,nutans,,재배품종
27896,Dracocephalum nutans L.,누탄스용머리,Labiatae,꿀풀과,Dracocephalum,용머리속,nutans,,재배품종
30876,Linanthus nuttallii (A.Gray) Greene ex Milliken,누탈리리난투스,Polemoniaceae,꽃고비과,Linanthus,리난투스속,nuttallii,,재배품종
27250,Cornus nuttallii Audubon,누탈리산딸나무,Cornaceae,층층나무과,Cornus,층층나무속,nuttallii,,재배품종
33077,Xanthocyparis nootkatensis (D.Don) Farjon & D. K. Harder,누트카편백,Cupressaceae,측백나무과,Xanthocyparis,크산토키파리스속,nootkatensis,,재배품종
33079,Xanthocyparis nootkatensis 'Green Arrow',누트카편백 '그린 애로',Cupressaceae,측백나무과,Xanthocyparis,크산토키파리스속,nootkatensis,,재배품종
10071,Bidens tripartita var. repens (D.Don) Sherff,눈가막사리,Compositae,국화과,Bidens,도깨비바늘속,tripartita,repens,자생종
2464,Veronica hederifolia L.,눈개불알풀,Scrophulariaceae,현삼과,Veronica,개불알풀속,hederifolia,,자생종
14914,Cephalotaxus harringtonia var. nana (Nakai) Rehder,눈개비자나무,Cephalotaxaceae,개비자나무과,Cephalotaxus,개비자나무속,harringtonia,nana,자생종
13305,Aruncus dioicus var. kamtschaticus (Maxim.) H. Hara,눈개승마,Rosaceae,장미과,Aruncus,눈개승마속,dioicus,kamtschaticus,자생종
25905,Aruncus 'Misty Lace',눈개승마 '미스티 레이스',Rosaceae,장미과,Aruncus,눈개승마속,,,재배품종
22262,Lespedeza macrovirgata Kitag.,눈개싸리,Leguminosae,콩과,Lespedeza,싸리속,macrovirgata,,자생종
8065,Aster hayatae H.Lev. & Vaniot,눈개쑥부장이,Compositae,국화과,Aster,참취속,hayatae,,자생종
